,accuracy,precision,recall,f1,auc_roc
Logistic Regression,0.15217391304347827,0.1006183049779458,0.15217391304347827,0.11990273729404165,
Decision Tree,0.14130434782608695,0.13488336045880803,0.14130434782608695,0.13708592132505176,
Random Forest,0.10869565217391304,0.12397774327122155,0.10869565217391304,0.11475568717189391,
SVM,0.17391304347826086,0.17123388386975344,0.17391304347826086,0.14748089838044862,
KNN,0.17391304347826086,0.20085936548532454,0.17391304347826086,0.17632460979142903,
Gradient Boosting,0.13043478260869565,0.12705103577865726,0.13043478260869565,0.12800624928333906,
