,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,test_accuracy,test_f1
Logistic Regression,0.1646118721461187,0.04460184592165748,0.12587960635947618,0.15217391304347827,0.11990273729404165
Decision Tree,0.13736681887366817,0.0377721845842999,0.1332348545111353,0.14130434782608695,0.13708592132505176
Random Forest,0.1291476407914764,0.018764722139596072,0.12291339677126416,0.10869565217391304,0.11475568717189391
SVM,0.1208523592085236,0.015776753144413926,0.08921904594694455,0.17391304347826086,0.14748089838044862
KNN,0.12907153729071535,0.01827498449899986,0.12182679863783812,0.17391304347826086,0.17632460979142903
Gradient Boosting,0.09067732115677321,0.028263922171823854,0.08841074304216709,0.13043478260869565,0.12800624928333906
